sent_A,sent_B,category,label
"Oleh karena elektron termasuk fermion , tiada dua elektron yang dapat menduduki keadaan kuantum yang sama sesuai dengan asas pengecualian Pauli .","Oleh karena elektron termasuk fermion , dua elektron berbeda tidak dapat menduduki keadaan kuantum yang sama sesuai dengan asas pengecualian Pauli .",copyedit,Entail_or_Paraphrase
"Saat bangsa Assyria menaklukkan Kerajaan Israel di tahun 722 SM , Yerusalem dikuatkan oleh serombongan besar pengungsi dari kerajaan utara .","Saat bangsa Assyria menaklukkan Kerajaan Israel pada tahun 722 SM , Yerusalem dikuatkan oleh serombongan besar pengungsi dari kerajaan utara .",bot penggantian teks otomatis di tahun pada tahun,Entail_or_Paraphrase
Kedua kata ini ditulis dengan huruf kanji yang sama .,Jepang disebut Nippon atau Nihon dalam bahasa Jepang .,nama jepang,NotEntail
"Pada masa kolonial , kebanyakan dari mereka yang terpelajar ini datang dari suatu tempat bernama Koto Gadang , suatu nagari yang dipisahkan dari kota Bukittinggi oleh lembah yang bernama Ngarai Sianok .",Raja Melewar merupakan raja pertama Negeri Sembilan yang diangkat pada tahun 1773 .,orang minangkabau dan pencapaiannya,NotEntail
"Filsafat Timur adalah tradisi falsafi yang terutama berkembang di Asia , khususnya di India , Republik Rakyat Cina dan daerah-daerah lain yang pernah dipengaruhi budayanya .","Filsafat Timur adalah tradisi falsafi yang terutama berkembang di Asia , khususnya di India , Republik Rakyat Tiongkok dan daerah-daerah lain yang pernah dipengaruhi budayanya .",rrt,Entail_or_Paraphrase
"Salah satu konsep penting dalam biologi adalah konsep bahwa kehidupan berubah melalui mekanisme evolusi , dan bahwa semua kehidupan punya nenek moyang bersama .","Salah satu konsep penting dalam biologi adalah konsep bahwa kehidupan berubah melalui mekanisme evolusi , dan bahwa semua organisme punya nenek moyang bersama .",evolusi,Entail_or_Paraphrase
"Bentuk ini dipakai oleh Kesultanan Malaka , yang perkembangannya kelak disebut sebagai bahasa Melayu Tinggi .",Pada abad ke-15 berkembang bentuk yang dianggap sebagai bahasa Melayu Pertengahan ( medieval Malay ) .,sejarah,NotEntail
Pulau ini berpenduduk terbanyak di dunia dan merupakan salah satu wilayah terpadat di dunia .,Pulau ini dihuni oleh 60 % penduduk Indonesia .,conciseness redundancy punctuation,NotEntail
Penemuan ini segera diikuti oleh isolasi virus dari manusia oleh sekelompok peneliti yang dipimpin oleh Patrick Laidlaw dari Konsili Penelitian Britania Raya pada tahun 1933 .,Penemuan ini segera diikuti oleh isolasi virus dari manusia oleh sekelompok peneliti yang dipimpin oleh Patrick Laidlaw dari Dewan Penelitian Britania Raya pada tahun 1933 .,pandemi,Entail_or_Paraphrase
"Hal ini bermakna bahwa angka kemiskinan relatif di Britania Raya lebih besar dibandingkan dengan semua negara-negara anggota Uni Eropa , kecuali empat negara anggota .",Hal ini bermakna bahwa angka kemiskinan relatif di Britania Raya lebih besar dibandingkan dengan semua ( kecuali empat ) negara-negara anggota Uni Eropa lainnya .,tambahan terakhir,Entail_or_Paraphrase
Semua sel dibatasi oleh suatu membran yang disebut membran plasma dan daerah di dalam sel yang disebut sitoplasma .,Semua sel dibatasi oleh suatu membran yang disebut membran plasma dan daerah di dalam sel disebut sitoplasma .,sunting nas,Entail_or_Paraphrase
"Dia kemudian meneruskan pendidikannya di Meer Uitgebreid Lager Onderwijs , sekolah tinggi Belanda yang junior , tetapi dia keluar sebelum lulus .","Dia kemudian meneruskan pendidikannya di Meer Uitgebreid Lager Onderwijs , sekolah menengah pertama belanda , tetapi dia keluar sebelum lulus .",masa kecil,Entail_or_Paraphrase
"Jepang menduduki Bali selama Perang Dunia II , dan saat itu seorang perwira militer bernama I Gusti Ngurah Rai membentuk pasukan Bali pejuang kemerdekaan .","Jepang menduduki Bali selama Perang Dunia VII , dan saat itu seorang perwira militer bernama I Gusti Ngurah Rai membentuk pasukan Bali pejuang kemerdekaan .",sejarah,NotEntail
"Dalam artikel-artikelnya ia menerangkan bahwa ekonomi seharusnya tidak ditegaskan melalui pokok persoalannya , tetapi sebaiknya ditegaskan sebagai pendekatan untuk menerangkan perilaku manusia .","Dalam artikelnya ia menerangkan bahwa ekonomi seharusnya tidak ditegaskan melalui pokok persoalannya , tetapi sebaiknya ditegaskan sebagai pendekatan untuk menerangkan perilaku manusia .",,Entail_or_Paraphrase
Suku Bugis mayoritas adalah pedagang jadi tidak heran jika rata-rata pasar di pulau ini dikuasai oleh Suku Bugis .,Suku Bugis adalah suku yang taat beragama .,bugis,NotEntail
"Sesampainya di tanah Madura pada awalnya prajurit Medangkemulan ini ingin membawa paksa Raden Segoro ke perahu , namun disitu terjadi keanehan yaitu para prajurit itu seluruhnya lumpuh tidak punya daya dan terjadi tiupang angin yang sangat kencang yang ingin menenggelamkan perahu-perahu itu .",Keesokan harinya raja memerintahkan patihnya untuk membawa beberapa perahu dan prajurit untuk meminta pertolongan Raden Segoro .,babad madura,NotEntail
"Jumlah protein yang dibutuhkan untuk membentuk capsid virus sperik ditentukan dalam koefisien T , yaitu sekitar 60t protein .",Kapsid virus sferik menyelubungi genom virus secara keseluruhan dan tidak terlalu berikatan dengan asam nukleat seperti virus heliks .,merapikan,NotEntail
"DNA pertama kali berhasil dimurnikan pada tahun 1868 oleh ilmuwan Swiss Friedrich Miescher di Tubingen , Jerman , yang menamainya nuclein berdasarkan lokasinya di dalam inti sel .","DNA pertama kali berhasil dimurnikan pada tahun 1868 oleh ilmuwan Swiss Friedrich Miescher , yang menamainya nuclein berdasarkan lokasinya di dalam inti sel .",sejarah,Entail_or_Paraphrase
"Masing-masing jenis tembang macapat memiliki jumlah gatra yang berbeda-beda dan untuk membedakan jenis sekar macapat antara yang satu dengan lainnya dapat dilihat dari jumlah gatra , guru lagu , dan guru wilangan .",Sekar macapat atau tembang macapat dapat diartikan sebagai salah satu bentuk sekar ( tembang ) yang menggunakan aturan guru wilangan dan guru lagu yang sudah ditentukan .,tembang macapat,NotEntail
Port Moresby dengan penduduk sebesar 193.242 ( 1990 ) adalah ibukota Papua Nugini dan terletak di Teluk Papua .,Port Moresby adalah ibu kota Papua Nugini dan terletak di pesisir Teluk Papua .,tambah info,Entail_or_Paraphrase
Masing-masing daerah pemilihan memilih seorang anggota parlemen dengan cara pluralitas sederhana ( simple plurality voting system ) .,"Untuk pemilihan anggota Dewan Rakyat , Britania Raya saat ini terbagi menjadi 650 daerah pemilihan .",←suntingan special contributions 39 252 160 91 39 252 160 91 user talk 39 252 160 91 bicara dibatalkan ke versi terakhir oleh user rachmat bot rachmat bot,NotEntail
"Ada berbagai macam corak musik Dangdut , antara lain Dangdut Melayu , Dangdut Modern ( Dangdut masa kini yang alat musiknya telah ditambah dengan alat musik modern ) , dan Dangdut Pesisir ( Lagu dangdut tradisional Jawa , Sunda , dll ) .","Ada berbagai macam corak musik Dangdut , antara lain Dangdut Melayu , Dangdut masa kini , dan Dangdut Pesisir ( Lagu dangdut tradisional Jawa , Sunda , dll ) .",seni budaya,Entail_or_Paraphrase
"Bahasa-bahasa melayu di kalimantan dikarenakan seluruh manusia penuturnya mempunyai bahasa yang berbeda ( Manusia Dayak ) meyebabkan bahasa melayu tersebut juga mempunyai banyak versi sesuai daerah asalnya , misal di daerah sanggau kapuas dikarenakan bunyi vokal bahasa Dayak di daerah tersebut kebanyakan berbunyi vokal o maka bahasa melayunya juga cenderung bervokal O misal kata ada akan di ucapkan menjadi ado , kata Ngapa ( Mengapa ) di ucapkan menjadi ngapo dan lain sebagainya .","Manusia Dayak meyebabkan bahasa melayu tersebut juga mempunyai banyak versi sesuai daerah asalnya , misal di daerah sanggau kapuas dikarenakan bunyi vokal bahasa Dayak di daerah tersebut kebanyakan berbunyi vokal o maka bahasa melayunya juga cenderung bervokal O misal kata ada akan di ucapkan menjadi ado , kata Ngapa ( Mengapa ) di ucapkan menjadi ngapo dan lain sebagainya .",←suntingan special contributions 180 244 253 208 180 244 253 208 user talk 180 244 253 208 bicara dikembalikan ke versi terakhir oleh user andri h andri h,Entail_or_Paraphrase
Lirik Hatikvah digubah oleh Naphtali Herz Imber ( 1856-1909 ) di Jassy pada tahun 1878 .,"Ia berasal dari Galisia ( sekarang berada di Polandia , Rumania dan Ukraina ) .",merapikan tata letak,NotEntail
"Sejak ditandatanganinya Perjanjian Jumat Agung pada tahun 1998 , sebagian besar kelompok paramiliter yang terlibat dalam konflik etnik-politik telah menghentikan kampanye militer mereka .","Sejak ditandatanganinya Persetujuan Jumat Agung pada tahun 1998 , sebagian besar kelompok paramiliter yang terlibat dalam konflik etnik-politik telah menghentikan kampanye militer mereka .",minor,Entail_or_Paraphrase
"Alat musik tradisional yang merupakan alat musik khas Indonesia memiliki banyak ragam dari pelbagai daerah di Indonesia , namun banyak pula alat musik tradisional Indonesia yang dicuri oleh negara lain untuk kepentingan penambahan budaya dan seni musiknya sendiri dengan mematenkan hak cipta seni dan warisan budaya Indonesia ke lembaga Internasional UNESCO .","Alat musik tradisional yang merupakan alat musik khas Indonesia memiliki banyak ragam dari pelbagai daerah di Indonesia , namun banyak pula dari alat musik tradisional Indonesia dicuri oleh negara lain untuk kepentingan penambahan budaya dan seni musiknya sendiri dengan mematenkan hak cipta seni budaya dari Indonesia .",wikifikasi,Entail_or_Paraphrase
Britania Raya juga berhubungan erat dengan Republik Irlandia dalam hal berbagi Kawasan Perjalanan Umum ( Common Travel Area ) dan banyak warga negara Irlandia yang menjadi anggota Angkatan Bersenjata Britania Raya .,Britania Raya juga berhubungan erat dengan Republik Irlandia dalam hal berbagi Kawasan Perjalanan Umum ( Common Travel Area ) dan banyak warga negara Irlandia yang menjadi Angkatan Bersenjata Britania Raya .,tambahan terakhir,Entail_or_Paraphrase
"Meskipun ada pendidikannya yang tak selesai , Chairil mempunyai penguasaan aktif bahasa Inggris , bahasa Belanda dan bahasa Jerman , dan dia terisi jam-jamnya dengan membaca seleksi internasional pengarang , termasuk Rainer M. Rilke , W.H. Auden , Archibald MacLeish , H. Marsman , J .","Pada usia sembilan belas tahun , setelah perceraian orang-tuanya , Chairil pindah dengan ibunya ke Jakarta di mana dia berkenalan dengan dunia sastera .",masa kecil,NotEntail
Kekuasaan legislatif dipegang oleh sebuah lembaga bernama Majelis Permusyawaratan Rakyat ( MPR ) yang terdiri dari dua badan yaitu DPR yang anggota-anggotanya terdiri dari wakil-wakil Partai Politik dan DPD yang anggota-anggotanya mewakili provinsi yang ada di Indonesia .,Setiap daerah diwakili oleh 4 orang yang dipilih langsung oleh rakyat di daerahnya masing-masing .,politik dan pemerintahan perbaiki hilangkan reduplikasi,NotEntail
"Di tahun ~ 445 SM , Raja Artaxerxes I dari Persia mengeluarkan dekrit yang mengizinkan kota dan tembok dibangun kembali .","Pada tahun ~ 445 SM , Raja Artaxerxes I dari Persia mengeluarkan dekrit yang mengizinkan kota dan tembok dibangun kembali .",bot penggantian teks otomatis di tahun pada tahun,Entail_or_Paraphrase
"Soeharto menambah kekayaannya dan keluarganya melalui praktik korupsi , kolusi dan nepotisme yang meluas dan dia akhirnya dipaksa turun dari jabatannya setelah aksi demonstrasi besar-besaran dan kondisi ekonomi negara yang memburuk pada tahun 1998 .",Soeharto menambah kekayaannya dan keluarganya melalui praktik korupsi yang meluas dan dia akhirnya dipaksa turun dari jabatannya setelah aksi demonstrasi besar-besaran dan kondisi ekonomi negara yang memburuk pada tahun 1998 .,sejarah,Entail_or_Paraphrase
"Dari tambo tersebut , konon pada suatu masa ada satu kerajaan asing yang datang dari laut akan melakukan penaklukan .","Konon pada abad ke-14 , kerajaan Majapahit melakukan ekspedisi ke Minangkabau .",etimologi,NotEntail
Struktur ini bisa bervariasi dari ukuran 20 nanometer hingga 400 nanometer dan terdiri atas protein virus yang tersusun dalam bentuk simetri ikosahedral .,Kapsid virus sferik menyelubungi genom virus secara keseluruhan dan tidak terlalu berikatan dengan asam nukleat seperti virus heliks .,merapikan,NotEntail
"Selama lebih dari tiga detik , nama Israel memiliki pengertian umum dan religi sebagai Tanah Israel ataupun keseluruhan negara Yahudi .","Selama lebih dari tiga ribu tahun , nama Israel memiliki pengertian umum dan religi sebagai Tanah Israel ataupun keseluruhan negara Yahudi .",etimologi,NotEntail
"Enam agama besar yang paling banyak dianut di Indonesia , yaitu : agama Islam , Kristen ( Protestan ) dan Katolik , Hindu , Buddha , dan Konghucu .","Enam agama paling banyak dianut di Indonesia , yaitu : agama Islam , Kristen ( Protestan ) dan Katolik , Hindu , Buddha , dan Konghucu .",agama di indonesia,Entail_or_Paraphrase
Selubung nukleus terdiri dari dua membran yang masing-masing merupakan lapisan ganda lipid dengan protein terkait .,Selubung nukleus melingkupi nukleus dan memisahkan isinya ( yang disebut nukleoplasma ) dari sitoplasma .,tambah,NotEntail
"Pembangunan Bait Kedua selesai di tahun 516 SM , selama kekuasaan Darius Agung , tujuh puluh tahun setelah hancurnya Bait Pertama .","Pembangunan Bait Kedua selesai pada tahun 516 SM , selama kekuasaan Darius Agung , tujuh puluh tahun setelah hancurnya Bait Pertama .",bot penggantian teks otomatis di tahun pada tahun,Entail_or_Paraphrase
"Chairil masuk Hollands Inlandsche School ( HIS ) , sekolah dasar untuk orang-orang pribumi waktu penjajah Belanda .","Chairil masuk sekolah widya merti ( HIS ) , sekolah dasar untuk orang-orang pribumi waktu penjajah Belanda .",masa kecil,NotEntail
Keberadaan orang Tionghoa yang banyak di kota Singkawang dapat disamakan komunitas Cina Benteng yang bermukim di Kota Tangerang dekat Jakarta .,Suku Dayak menempati seluruh daerah pedalaman Kalimantan .,budaya,NotEntail
"Mereka juga aktif dalam mengembangkan sastra Indonesia modern , di mana hal ini tampak dari banyaknya sastrawan Indonesia di pada masa 1920 - 1960 yang berasal dari suku Minang .","Pada abad ke-14 orang Minang melakukan migrasi ke Negeri Sembilan , Malaysia dan mengangkat raja untuk negeri baru tersebut dari kalangan mereka .",orang minangkabau dan pencapaiannya,NotEntail
"Meskipun teori dan eksperimen dikembangkan secara terpisah , mereka saling bergantung .",Kemajuan dalam fisika biasanya mencari teori baru .,sekilas tentang riset fisika,NotEntail
Kudeta G 30 S PKI yang gagal dan kekerasan anti-komunis selanjutnya di tahun 1965-66 sebagian besar terjadi di pulau ini .,Kudeta G 30 S PKI yang gagal dan kekerasan anti-komunis selanjutnya pada tahun 1965-66 sebagian besar terjadi di pulau ini .,bot penggantian teks otomatis di tahun pada tahun kosmetik perubahan,Entail_or_Paraphrase
"Sesampainya di tanah Madura pada awalnya prajurit Medangkemulan ini ingin membawa paksa Raden Segoro ke perahu , namun disitu terjadi keanehan yaitu para prajurit itu seluruhnya lumpuh tidak punya daya dan terjadi tiupang angin yang sangat kencang yang ingin menenggelamkan perahu-perahu itu .",Kejadian tersebut akhirnya patih Kerajaan Medangkamulan minta ampun kepada Raden Segoro dan ibunya .,babad madura,NotEntail
"Pengkajian ruang bermula dengan geometri – khususnya , geometri euclid .","Pengkajian ruang bermula dengan geometri – khususnya , geometri Euklides .",perbaikan pranala,Entail_or_Paraphrase
Kerajinan batik ini pun sudah mulai ditiru oleh Malaysia dengan industri batiknya .,Kerajinan batik ini pun ditiru oleh Malaysia dengan industri batiknya .,seni budaya,Entail_or_Paraphrase
Interaksi ini diekspresikan secara matematis menggunakan persamaan Maxwell .,Interaksi ini dinyatakan secara matematis menggunakan persamaan Maxwell .,karakteristik copyedit,Entail_or_Paraphrase
Di dalam konstitusi disebutkan 2 bahasa yang dijadikan bahasa kerja yaitu bahasa Inggris dan bahasa Indonesia .,Di dalam konstitusi disebutkan 2 bahasa yang dijadikan bahasa kerja yaitu bahasa Inggris dan bahasa Melayu .,bahasa,NotEntail
"Ketika orang-orang Eropa datang pada awal abad ke-16 , mereka menemukan beberapa kerajaan kecil yang dengan mudah dapat mereka kuasai demi mendominasi perdagangan rempah-rempah .","Ketika orang-orang Eropa datang pada awal abad ke-16 , mereka menemukan beberapa kerajaan yang dengan mudah dapat mereka kuasai demi mendominasi perdagangan rempah-rempah .",menambhakan informasi mengenai kerajaan sunda,Entail_or_Paraphrase
Sekitar tahun 1930-an pemikiran ini banyak ditentang karena tidak mempunyai landasan dan terlalu mudahnya membuat generalisasi ( bahkan lebih sering memaksa ) .,Ahli geografi determinisme lingkungan mencoba membuat studi itu menjadi teori yang berpengaruh .,←membatalkan revisi 3468450 oleh special contributions 118 96 142 230 118 96 142 230 user talk 118 96 142 230 bicara,NotEntail
Epistemologi adalah tema yang mengkaji tentang pengetahuan ( episteme secara harafiah berarti “pengetahuan” ) .,Epistemologi mengkaji tentang pengetahuan ( episteme secara harafiah berarti “pengetahuan” ) .,tema,Entail_or_Paraphrase
Di daerah selatan Borneo Suku Dayak pernah membangun sebuah kerajaan .,Di daerah selatan Kalimantan Suku Dayak pernah membangun sebuah kerajaan .,lokasi suku dayak di indonesia minor typo corrections,Entail_or_Paraphrase
Tesis ini terkadang dianggap sebagai prinsip dasar dari ilmu komputer .,Tesis ini kadang-kadang dianggap sebagai prinsip dasar dari ilmu komputer .,bot penggantian teks otomatis terkadang kadang kadang,Entail_or_Paraphrase
"Pada tahun 1953 , Churchil dianugrahkan penghargaan Nobel di bidang literarur karena sumbangan yang ia berikan dalam buku-buku karangannya mengenai bahasa inggris dan sejarah dunia .","Pada tahun 1953 , Churchill dianugerahi penghargaan Nobel di bidang sastra karena sumbangan yang ia berikan dalam buku-buku karangannya mengenai bahasa Inggris dan sejarah dunia .",typos,Entail_or_Paraphrase
"Pada abad ke-15 berkembang bentuk yang dianggap sebagai bentuk resmi bahasa Melayu karena dipakai oleh Kesultanan Malaka , yang kelak disebut sebagai bahasa Melayu Tinggi .",Pada abad ke-15 berkembang bentuk yang dianggap sebagai bahasa Melayu Pertengahan ( medieval Malay ) .,sejarah,NotEntail
"Sitoskeleton terdiri dari tiga jenis serat protein , yaitu mikrotubulus , filamen intermediat , dan mikrofilamen .",Sitoskeleton dapat ditemukan di dalam sel prokariota maupun eukariota .,koreksi kurangi,NotEntail
"Pada kedua hari pertama perang , Israel harus banyak mengundurkan diri , tetapi setelah memobilisasi tentara cadangan , mereka bisa memukul tentara invasi sampai jauh di Mesir dan Suriah .","Pada permulaan perang , Israel terpaksa menarik mundur pasukannya .",memperbaiki,Entail_or_Paraphrase
"Selain di pemerintahan , di masa Demokrasi Liberal parlemen Indonesia didominasi oleh politisi Minang .","Selain di pemerintahan , di masa Demokrasi Liberal parlemen Indonesia didominasi oleh orang Minang .",orang minangkabau dan pencapaiannya,Entail_or_Paraphrase
"Sugriwa , panglima wanara ( manusia kera ) dari pasukan Sr. Rama , mengirimkan utusannya ke Yawadvipa ( pulau Jawa ) untuk mencari Dewi Shinta .","Berdasarkan kesusastraan India terutama pustaka Tamil , disebut dengan nama Sanskerta yāvaka dvīpa ( dvīpa = pulau ) .",etimologi,NotEntail
Chairil Anwar meninggal dalam usia muda karena penyakit TBC .,Chairil Anwar meninggal dalam usia muda karena sakit bronkhitis akut .,referensi,Entail_or_Paraphrase
Dari sinilah kemudian Bahasa Melayu distandardisasikan .,Dari sinilah kemudian Bahasa Melayu dibakukan .,bahasa perdagangan,Entail_or_Paraphrase
"Perbedaan Bahasa Bawean dan Bahasa Madura dapat diibaratkan dengan perbedaan antara Bahasa Indonesia dan Bahasa Melayu , yang serupa tapi tak sama meskipun masing-masing dapat memahami maksudnya .",Intonasi orang Bawean mudah dikenali di kalangan penutur bahasa Madura .,bawean copyedit,Entail_or_Paraphrase
Lirik digubah oleh Naphtali Herz Imber ( 1856-1909 ) di Jassy in 1878 yang berasal dari Galisia ( Antara Polandia dan Rumania ) .,Kata Ibrani ini arti harafiahnya adalah Harapan .,merapikan tata letak,NotEntail
"Sebagai suatu disiplin ilmu , Ilmu Komputer lebih menekankan pada pemrograman komputer , dan rekayasa perangkat lunak ( software ) , sementara teknik komputer lebih cenderung berkaitan dengan hal-hal seperti halnya perangkat keras komputer ( hardware ) .","Sebagai suatu disiplin ilmu , Ilmu Komputer lebih menekankan pada pemrograman komputer , dan rekayasa perangkat lunak ( software ) , sementara teknik komputer lebih cenderung berkaitan dengan hal-hal seperti perangkat keras komputer ( hardware ) .",perbaiki format kurangi pernyataan yang tidak relevan,Entail_or_Paraphrase
